"filename", "language", "YAML", "Dart", "Markdown", "XML", "Swift", "C++", "JSON", "Properties", "Groovy", "HTML", "comment", "blank", "total"
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Movements\ArmMoves\cable_front_raises.dart", "Dart", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 88
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Movements\ArmMoves\cable_tricep_extensions.dart", "Dart", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 101
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Movements\ArmMoves\concentration_curls.dart", "Dart", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 86
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Movements\ArmMoves\dumbbell_curls.dart", "Dart", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 87
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Movements\ArmMoves\dumbbell_lateral_raises.dart", "Dart", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 88
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Movements\ArmMoves\machine_triceps_extensions.dart", "Dart", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 94
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Movements\ArmMoves\preacher_barbell_curls.dart", "Dart", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 84
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Movements\ArmMoves\seated_dumbbell_press.dart", "Dart", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 90
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Movements\ArmMoves\seated_machine_press.dart", "Dart", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 90
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Movements\ArmMoves\standing_barbell_triceps_extension.dart", "Dart", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 84
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Movements\ArmMoves\standing_dumbbell_triceps_extension.dart", "Dart", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 85
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Movements\ArmMoves\tricep_kickbacks.dart", "Dart", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 90
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Movements\ArmMoves\underhand_chinUps.dart", "Dart", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 84
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Movements\ArmMoves\upright_row_barbell.dart", "Dart", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 89
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Movements\BackMoves\bentOver_rows.dart", "Dart", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 86
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Movements\BackMoves\machine_lat_puldowns.dart", "Dart", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 88
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Movements\BackMoves\one_arm_bentOver_rows.dart", "Dart", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 86
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Movements\BackMoves\t_bar_rows.dart", "Dart", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 84
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Movements\BackMoves\widegrip_pullups.dart", "Dart", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 87
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Movements\ChestMoves\decline_bench_press.dart", "Dart", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 89
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Movements\ChestMoves\dumbbell_bench_press.dart", "Dart", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 88
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Movements\ChestMoves\dumbbell_fly.dart", "Dart", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 88
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Movements\ChestMoves\dumbbell_incline_press.dart", "Dart", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 92
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Movements\ChestMoves\dumbbell_pullovers.dart", "Dart", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 86
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Movements\ChestMoves\flat_bench_press.dart", "Dart", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 87
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Movements\ChestMoves\narrow_grip_pushUps.dart", "Dart", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 87
